Phases,Date,Headline,URL,Type,What it Does,Author,Desk,Image,Notes,Updates,
52,4/6/2015,"The Mind of Those Who Kill, and Kill Themselves",http://www.nytimes.com/2015/04/07/science/the-mind-of-those-who-kill-and-kill-themselves.html,Article,,Erica Goode,Science,Y,,4/7/2015 22:35;4/7/2015 12:34;4/6/2015 14:5;4/6/2015 11:35;,
,,,,,,,,,,,
51,4/3/2015,"Germanwings Co-Pilot Accelerated During Descent, Data From 2nd Recorder Shows",http://www.nytimes.com/2015/04/04/world/europe/germanwings-crash.html,Article,,Nicola Clark,Europe,Y,,4/3/2015 21:2;4/3/2015 19:56;4/3/2015 17:9;4/3/2015 16:10;4/3/2015 9:7;4/3/2015 7:16;4/3/2015 6:55;,
50,4/3/2015,How to Screen Pilots and Protect Passengers,http://www.nytimes.com/2015/04/03/opinion/how-to-screen-pilots-and-protect-passengers.html,Article,,The Editorial Board,Opinion,Y,,4/3/2015 4:23;,
,,,,,,,,,,,
49,4/2/2015,"Germanwings Pilot Searched Web About Suicide and Cockpit Doors, Officials Say",http://www.nytimes.com/2015/04/03/world/europe/germanwings-lufthansa-andreas-lubitz-black-box.html,Article,,"Nicholas Kulish, Melissa Eddy, Nicola Clark",Europe,N,,4/2/2015 22:2;4/2/2015 20:36;4/2/2015 19:18;4/2/2015 17:44;4/2/2015 17:26;4/2/2015 14:33;4/2/2015 13:29;4/2/2015 12:12;4/2/2015 11:4;4/2/2015 10:36;,
48,4/2/2015,Prosecutor on Co-Pilot’s Search History,http://www.nytimes.com/video/world/europe/100000003607972/prosecutor-on-co-pilots-search-history.html,Multimedia,,,Video,Y,,08/28/2015 01:59:28 PM;08/27/2015 07:18:47 PM;04/02/2015 08:41:21 PM;04/02/2015 08:41:04 PM;04/02/2015 08:41:01 PM;04/02/2015 12:27:06 PM;04/02/2015 12:17:41 PM,
,,,,,,,,,,,
47,4/1/2015,Doubts Intensify About Reports of a Video Made During Germanwings Flight’s Final Moments,http://www.nytimes.com/2015/04/02/world/europe/doubts-intensify-about-reports-of-a-video-made-during-germanwings-flights-final-moments.html,Article,,Rick Gladstone,Europe,Y,,4/1/2015 21:38;4/1/2015 21:15;,
46,4/1/2015,Lufthansa Faces Mounting Challenges as More Details of Germanwings Crash Emerge,http://www.nytimes.com/2015/04/02/world/europe/germanwings-crash-lufthansa.html,Article,,"Jack Ewing, Nicola Clark",Europe,Y,,4/1/2015 20:50;4/1/2015 12:33;4/1/2015 12:14;4/1/2015 11:48;4/1/2015 10:51;4/1/2015 10:19;4/1/2015 9:39;4/1/2015 8:24;4/1/2015 7:27;,
,,,,,,,,,,,
45,3/31/2015,Lufthansa Says Germanwings Pilot Reported Deep Depression,http://www.nytimes.com/2015/04/01/world/europe/lufthansa-germanwings-andreas-lubitz.html,Article,,"Nicholas Kulish, Jack Ewing",Europe,Y,,3/31/2015 22:32;3/31/2015 22:11;3/31/2015 16:28;3/31/2015 14:34;,
,,,,,,,,,,,
44,3/30/2015,Role of Illness in Germanwings Crash Raises Worry About Stigma,http://www.nytimes.com/2015/03/31/world/europe/role-of-illness-in-germanwings-jet-crash-spurs-debate.html,Article,,Erica Goode,Europe,Y,,3/30/2015 23:4;3/30/2015 22:4;,
43,3/30/2015,"Chirlane McCray, on the Germanwings Co-Pilot’s Mental Health",http://www.nytimes.com/2015/03/31/opinion/chirlane-mccray-on-the-germanwings-co-pilots-mental-health.html,Article,,CHIRLANE McCRAY,Opinion,N,,3/30/2015 16:46;,
42,3/30/2015,"Germanwings Co-Pilot Was Treated for ‘Suicidal Tendencies,’ Authorities Say",http://www.nytimes.com/2015/03/31/world/europe/germanwings-copilot-andreas-lubitz.html,Article,,"Nicholas Kulish, Melissa Eddy",Europe,Y,,3/31/2015 12:37;3/31/2015 3:9;3/30/2015 21:58;3/30/2015 21:38;3/30/2015 21:11;3/30/2015 19:9;3/30/2015 15:12;3/30/2015 13:56;3/30/2015 13:4;3/30/2015 11:20;3/30/2015 10:39;3/30/2015 10:22;,
41,3/30/2015,Andreas Lubitz’s Home City Is Left to Clear Away Emotional Wreckage,http://www.nytimes.com/2015/03/31/world/europe/germanwings-crash-leaves-home-city-of-andreas-lubitz-pilot-bewildered-and-bristling.html,Article,,Jack Ewing,Europe,Y,,3/30/2015 22:9;3/30/2015 21:52;3/30/2015 5:40;,
40,3/30/2015,More Details on Co-Pilot’s Mental State,http://www.nytimes.com/video/world/europe/100000003601501/more-details-on-co-pilots-mental-state.html,Multimedia,,,Video,Y,,08/28/2015 01:59:53 PM;08/27/2015 07:22:07 PM;03/30/2015 06:41:58 PM;03/30/2015 06:41:25 PM;03/30/2015 05:34:07 PM;03/30/2015 05:33:46 PM;03/30/2015 12:43:33 PM;03/30/2015 11:55:07 AM;03/30/2015 11:54:33 AM;03/30/2015 11:51:23 AM,
,,,,,,,,,,,
39,3/29/2015,Jet Crash Tests Germany’s Faith in Its Precision,http://www.nytimes.com/2015/03/30/world/europe/jet-crash-tests-nations-faith-in-its-precision.html,Article,,Alison Smale,Europe,Y,,3/30/2015 1:19;3/29/2015 23:38;3/29/2015 21:9;,
38,3/29/2015,Germanwings Crash Settlements Are Likely to Vary by Passenger Nationality,http://www.nytimes.com/2015/03/30/world/europe/germanwings-crash-settlements-are-likely-to-vary-by-passenger-nationality.html,Article,,"Jad Mouawad, Nicola Clark",Europe,Y,,3/29/2015 20:47;,
37,3/29/2015,Germanwings Crash Investigators Sorting Through Physical and Psychological Clues,http://www.nytimes.com/2015/03/30/world/europe/germanwings-plane-crash-pilot-andreas-lubitz.html,Article,,"Nicholas Kulish, Nicola Clark",Europe,Y,,4/1/2015 11:25;3/29/2015 20:40;3/29/2015 16:37;,
,,,,,,,,,,,
36,3/28/2015,Germanwings Crash Raises Questions About Shifting Ideas of Pilot Fitness,http://www.nytimes.com/2015/03/29/world/europe/germanwings-crash-andreas-lubitz-mental-illness.html,Article,,"Erica Goode, Jad Mouawad",Europe,Y,,3/30/2015 21:42;3/30/2015 14:34;3/29/2015 11:24;3/29/2015 7:37;,
35,3/28/2015,"Germanwings Pilot Andreas Lubitz Sought Treatment for Vision Problems Before Crash, Authorities Say",http://www.nytimes.com/2015/03/29/world/europe/pilot-andreas-lubitz-sought-treatment-for-vision-problems-before-germanwings-crash-authorities-say.html,Article,,"Melissa Eddy, Nicholas Kulish, Nicola Clark, Jack Ewing",Europe,Y,,3/29/2015 2:13;3/29/2015 1:2;3/28/2015 19:8;3/28/2015 18:19;3/28/2015 13:48;3/28/2015 12:15;3/28/2015 11:57;3/28/2015 10:38;,
,,,,,,,,,,,
34,3/27/2015,A Co-Pilot Bent on Destruction,http://www.nytimes.com/2015/03/28/opinion/a-pilot-bent-on-suicide-and-murder.html,Letter,,,Opinion,Y,,3/28/2015 3:14;3/27/2015 17:45;,
33,3/27/2015,Germanwings Flight 9525,http://www.nytimes.com/2015/03/28/opinion/patrick-chappatte-germanwings-adreas-lubitz.html?rref=collection%2Fundefined%2Fundefined&action=click&contentCollection=world&region=stream&module=stream_unit&version=search&contentPlacement=2&pgtype=collection,Article,,Patrick Chappatte,Opinion,Y / illustration,,3/27/2015 18:51;,
32,3/27/2015,"Co-Pilot in Germanwings Crash Hid Mental Illness From Employer, Authorities Say",http://www.nytimes.com/2015/03/28/world/europe/germanwings-crash-andreas-lubitz.html,Article,,"Melissa Eddy, Dan Bilefsky, Nicola Clark",Europe,Y,,3/27/2015 22:13;3/27/2015 21:30;3/27/2015 18:39;3/27/2015 17:46;3/27/2015 17:26;3/27/2015 16:50;3/27/2015 16:7;3/27/2015 15:44;3/27/2015 15:22;3/27/2015 14:48;3/27/2015 13:29;3/27/2015 13:12;3/27/2015 12:30;3/27/2015 10:19;3/27/2015 9:41;3/27/2015 8:43;3/27/2015 8:6;3/27/2015 7:26;3/27/2015 6:48;3/27/2015 5:49;,
31,3/27/2015,Prosecutor Says Co-Pilot ‘Hid Illness’,http://www.nytimes.com/video/world/europe/100000003597434/prosecutor-says-co-pilot-hid-illness.html,Mulitmedia,,,Video,Y,,08/28/2015 02:00:09 PM;08/27/2015 07:24:15 PM;03/27/2015 12:00:51 PM;03/27/2015 11:59:39 AM;03/27/2015 11:51:54 AM,
,,,,,,,,,,,
